K,M,base_embedding_residual_linf_max_lift_aware,base_old_shifted_normal_upper_triangular_defect_linf_max,base_scalar_residual_linf,base_shifted_normal_target_det_defect_linf,base_source_frame_det_defect_linf,base_tangent_residual_linf_max,base_target_frame_det_defect_linf,base_upper_triangular_defect_linf_max,best_any_case,best_any_cutoff_mode,best_any_scalar_residual_linf,best_any_tangent_residual_linf_max,best_any_upper_triangular_defect_linf_max,best_full_a21_linf,best_full_case,best_full_grid_size,best_full_scalar_residual_linf,best_full_source_frame_det_defect_linf,best_full_tangent_residual_linf_max,best_full_target_frame_det_defect_linf,best_full_upper_triangular_defect_linf_max,npz_path,recommendation_label,recommendation_score,record_path,twist_average_best_full
0.971635,8192,5.626770716027352e-09,0.016290022674665616,5.626770771538503e-09,0.0160283036007427,3.3306690738754696e-16,0.00011518181899006219,2.220446049250313e-16,0.00042370044223982717,L8192_cut_0.950,3891,5.626770771538503e-09,0.0001151818188755982,0.0004237004417984025,0.00042370044223982717,L8192_full,8192,5.626770771538503e-09,3.3306690738754696e-16,0.00011518181899006219,2.220446049250313e-16,0.00042370044223982717,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/020_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h14p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/020_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h14p0_eta1em08.phase4d_target_frame_audit.json,1.5252346018761216
0.971635,8192,5.626779375766944e-09,0.016290024731301367,5.626779292500217e-09,0.01602830559076418,2.220446049250313e-16,0.00011518154912659728,3.3306690738754696e-16,0.00042370176923345326,L8192_full,,5.626779292500217e-09,0.00011518154912659728,0.00042370176923345326,0.00042370176923345326,L8192_full,8192,5.626779292500217e-09,2.220446049250313e-16,0.00011518154912659728,3.3306690738754696e-16,0.00042370176923345326,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/018_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h11p0_eta1em08.npz,moderate_needs_one_more_precision_or_frame_polish,4,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/018_K0p9716350000_M8192_from_originalM4096_M8192_os2_cut3891_h11p0_eta1em08.phase4d_target_frame_audit.json,1.525234601943731
0.971635,8192,1.6712771166993434e-09,0.00017170560192092288,1.6712769965697427e-09,0.00011946208138580161,3.3306690738754696e-16,2.0148552407839304e-05,3.3306690738754696e-16,0.0001717048812537314,L16384_full,,1.6712770035086366e-09,2.0148552295928823e-05,0.00017170488029805142,0.00017170488029805142,L16384_full,16384,1.6712770035086366e-09,2.220446049250313e-16,2.0148552295928823e-05,2.220446049250313e-16,0.00017170488029805142,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/016_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h14p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/016_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h14p0_eta1em08.phase4d_target_frame_audit.json,1.4650834088702998
0.971635,8192,1.671293103910898e-09,0.00017170754348203507,1.6712929941896382e-09,0.00011946209578583833,3.3306690738754696e-16,2.0148780382811537e-05,3.3306690738754696e-16,0.00017170682280820415,L8192_full,,1.6712929941896382e-09,2.0148780382811537e-05,0.00017170682280820415,0.00017170682280820415,L8192_full,8192,1.6712929941896382e-09,3.3306690738754696e-16,2.0148780382811537e-05,3.3306690738754696e-16,0.00017170682280820415,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/014_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h11p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/014_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h11p0_eta1em08.phase4d_target_frame_audit.json,1.4650834021226884
0.971635,8192,1.6713033179627246e-09,0.0001717087660104702,1.6713031622712926e-09,0.00011946210481861286,2.220446049250313e-16,2.014892393020773e-05,2.220446049250313e-16,0.00017170804533250816,L16384_full,,1.6713031414546109e-09,2.0148923779217398e-05,0.00017170804404997853,0.00017170804404997853,L16384_full,16384,1.6713031414546109e-09,3.3306690738754696e-16,2.0148923779217398e-05,3.3306690738754696e-16,0.00017170804404997853,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/015_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h12p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/015_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h12p0_eta1em08.phase4d_target_frame_audit.json,1.465083408139236
0.971635,8192,1.6713165296167176e-09,0.00017171031509132155,1.6713166512642014e-09,0.00011946211662761108,2.220446049250313e-16,2.0149105822930835e-05,2.220446049250313e-16,0.00017170959440804268,L8192_full,,1.6713166512642014e-09,2.0149105822930835e-05,0.00017170959440804268,0.00017170959440804268,L8192_full,8192,1.6713166512642014e-09,2.220446049250313e-16,2.0149105822930835e-05,2.220446049250313e-16,0.00017170959440804268,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/013_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h10p5_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/013_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_full_h10p5_eta1em08.phase4d_target_frame_audit.json,1.4650834014723102
0.971635,8192,1.6712997652490458e-09,0.00017179687192558132,1.6712997077863306e-09,0.0001194584548722677,2.220446049250313e-16,2.0159262577479353e-05,2.220446049250313e-16,0.00017179615136697635,L8192_full,,1.6712997077863306e-09,2.0159262577479353e-05,0.00017179615136697635,0.00017179615136697635,L8192_full,8192,1.6712997077863306e-09,2.220446049250313e-16,2.0159262577479353e-05,2.220446049250313e-16,0.00017179615136697635,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/009_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h10p5_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/009_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h10p5_eta1em08.phase4d_target_frame_audit.json,1.4650834027873494
0.971635,8192,1.6713090911224526e-09,0.0001717979815625941,1.671309081798314e-09,0.00011945846307614971,3.3306690738754696e-16,2.0159392871477166e-05,2.220446049250313e-16,0.0001717972610002505,L16384_full,,1.6713090540427383e-09,2.0159392752461258e-05,0.0001717972599841744,0.0001717972599841744,L16384_full,16384,1.6713090540427383e-09,2.220446049250313e-16,2.0159392752461258e-05,3.3306690738754696e-16,0.0001717972599841744,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/011_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h12p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/011_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h12p0_eta1em08.phase4d_target_frame_audit.json,1.4650834088216433
0.971635,8192,1.6713135320145511e-09,0.00017179852788652133,1.6713135805868085e-09,0.00011945846688465878,3.3306690738754696e-16,2.015945701927535e-05,3.3306690738754696e-16,0.00017179780732234917,L8192_full,,1.6713135805868085e-09,2.015945701927535e-05,0.00017179780732234917,0.00017179780732234917,L8192_full,8192,1.6713135805868085e-09,3.3306690738754696e-16,2.015945701927535e-05,3.3306690738754696e-16,0.00017179780732234917,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/010_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h11p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/010_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h11p0_eta1em08.phase4d_target_frame_audit.json,1.465083402399456
0.971635,8192,1.6713195272188841e-09,0.00017179921153039727,1.6713192652756392e-09,0.00011945847185801384,2.220446049250313e-16,2.0159537292840923e-05,2.220446049250313e-16,0.00017179849096393696,L16384_cut_0.950,3891,1.6713192548672984e-09,2.0159536632924357e-05,0.00017179848534709663,0.00017179848595816338,L16384_full,16384,1.671319279153427e-09,3.3306690738754696e-16,2.015953670486681e-05,3.3306690738754696e-16,0.00017179848595816338,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/012_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h14p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/012_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M8192_os2_cut3891_h14p0_eta1em08.phase4d_target_frame_audit.json,1.4650834085370423
0.971635,4096,1.4385904689717677e-08,0.03451162660867246,1.4385904689717677e-08,0.03336359965949165,2.220446049250313e-16,0.00019586443227170847,2.220446049250313e-16,0.0006994992012728796,L4096_cut_0.950,1945,1.4385904717473252e-08,0.00019586443204655524,0.0006994992004687658,0.0006994992012728796,L4096_full,4096,1.4385904689717677e-08,2.220446049250313e-16,0.00019586443227170847,2.220446049250313e-16,0.0006994992012728796,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/004_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h14p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/004_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h14p0_eta1em08.phase4d_target_frame_audit.json,1.4644673556889738
0.971635,4096,1.4386050573023113e-08,0.034511590425495564,1.4386050545267537e-08,0.03336356582705946,2.220446049250313e-16,0.0001958662702890024,2.220446049250313e-16,0.0006995058012033983,L4096_cut_0.950,1945,1.4386050545267537e-08,0.0001958662701531111,0.0006995058007164892,0.0006995058012033983,L4096_full,4096,1.4386050545267537e-08,2.220446049250313e-16,0.0001958662702890024,2.220446049250313e-16,0.0006995058012033983,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/002_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h11p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/002_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h11p0_eta1em08.phase4d_target_frame_audit.json,1.4644673576264275
0.971635,4096,1.4386030366964064e-08,0.034511577541001204,1.4386030339208489e-08,0.03336355377055977,2.220446049250313e-16,0.00019586695517159747,2.220446049250313e-16,0.0006995082599100394,L4096_full,,1.4386030339208489e-08,0.00019586695517159747,0.0006995082599100394,0.0006995082599100394,L4096_full,4096,1.4386030339208489e-08,2.220446049250313e-16,0.00019586695517159747,2.220446049250313e-16,0.0006995082599100394,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/001_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h10p5_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/001_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h10p5_eta1em08.phase4d_target_frame_audit.json,1.4644673583177994
0.971635,4096,1.4386176139247198e-08,0.03451156903607644,1.438617600046932e-08,0.03336354582566503,2.220446049250313e-16,0.00019586738925969627,2.220446049250313e-16,0.0006995098185747992,L4096_full,,1.438617600046932e-08,0.00019586738925969627,0.0006995098185747992,0.0006995098185747992,L4096_full,4096,1.438617600046932e-08,2.220446049250313e-16,0.00019586738925969627,2.220446049250313e-16,0.0006995098185747992,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_combined_audit_inputs/003_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h12p0_eta1em08.npz,needs_target_frame_or_refined_seed,3,artifacts/proof_audit/theorem_iii_trackb/phase4i_h1_pilot_phase4d_audit/records/003_K0p9716350000_M4096_lsqdealias2_full_fromM1024_M4096_os2_cut1945_h12p0_eta1em08.phase4d_target_frame_audit.json,1.4644673587723507
