K,M,residual_linf,zero_mode_residual_abs,max_mode,small_divisor_min_denominator,small_divisor_min_mode,finite_max_inverse,finite_max_inverse_mode,rep_nu,rep_u_l1_nu,rep_residual_l1_nu,rep_cohomology_correction_l1_nu,rep_correction_to_u_ratio,rep_correction_tail_075_weighted_ratio,recommendation_label,recommendation_score,npz_path,record_path
0.968,128,3.982925100842749e-15,6.622617498937423e-19,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09038053221929922,4.410411183162001e-15,7.620784222661818e-15,8.431886862726982e-14,0.4047623013194359,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9680000000_M128_steps44.phase3_small_divisor_audit.json
0.968,256,8.577860644010116e-13,1.2167062908105844e-17,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09185644298844196,2.0873161816447542e-12,2.8680302004925347e-12,3.122296169092255e-11,0.2756298768874481,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9680000000_M256_steps44.phase3_small_divisor_audit.json
0.968,1024,1.4028708750224439e-14,8.780275364423038e-19,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09308503827837325,7.861861994515253e-14,2.0228397891988357e-12,2.17310947775461e-11,0.15405334551361832,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9680000000_M1024_steps44.phase3_small_divisor_audit.json
0.9685,128,2.6020852139652106e-15,1.6972062589523072e-18,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09059088225224012,2.8892119769250138e-15,5.053071264155011e-15,5.5779026967474534e-14,0.4104353161264746,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9685000000_M128_steps44.phase3_small_divisor_audit.json
0.9685,256,1.0262346528122634e-12,4.6352281720918246e-18,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09212890428374929,2.4990853433829983e-12,3.418192627069257e-12,3.710228243398522e-11,0.2763456069560206,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9685000000_M256_steps44.phase3_small_divisor_audit.json
0.9685,1024,1.4422490979271174e-14,1.0356783831906266e-18,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09350298486829445,7.87067671476831e-14,2.0719721117120225e-12,2.2159422125727233e-11,0.12938872736585455,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9685000000_M1024_steps44.phase3_small_divisor_audit.json
0.969,128,3.649858193455202e-15,4.37911367943624e-18,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09080286688605985,4.056735336748361e-15,7.441782295677633e-15,8.195536716936086e-14,0.4298250174994343,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9690000000_M128_steps44.phase3_small_divisor_audit.json
0.969,256,1.2242706848297757e-12,5.755960557915226e-19,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09240534290424943,2.974365958601261e-12,4.012693767208869e-12,4.3424910736674925e-11,0.2764511286228793,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9690000000_M256_steps44.phase3_small_divisor_audit.json
0.969,1024,1.259929660601955e-14,1.978088560690968e-18,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09394289621948174,7.031976149546554e-14,2.0879933616161226e-12,2.222619746295535e-11,0.11848964171292324,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9690000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9690000000_M1024_steps44.phase3_small_divisor_audit.json
0.9695,128,5.814793091474257e-15,3.280939562312512e-18,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09101650266095276,6.4370755239535824e-15,1.1233235754003293e-14,1.2341976922414197e-13,0.43844829025580867,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9695000000_M128_steps44.phase3_small_divisor_audit.json
0.9695,256,1.459415921445384e-12,1.8549408268759333e-18,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09268583676729933,3.5470237974793643e-12,4.757092700806284e-12,5.132491507574805e-11,0.27644941287317204,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9695000000_M256_steps44.phase3_small_divisor_audit.json
0.9695,1024,1.301736496372996e-14,2.722000522759394e-19,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.0944068357293711,7.63550815971909e-14,2.1043179102241802e-12,2.228988922217951e-11,0.12171539541675555,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9695000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9695000000_M1024_steps44.phase3_small_divisor_audit.json
0.97,128,2.220446049250313e-15,9.313796404710665e-19,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09123180602622605,2.4804021158502144e-15,4.363155871374104e-15,4.78249424342191e-14,0.41067310391050776,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9700000000_M128_steps44.phase3_small_divisor_audit.json
0.97,256,1.72492575778449e-12,7.272573497903965e-19,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09297046278984172,4.1954860257852966e-12,5.553902949754436e-12,5.973835972301167e-11,0.2754713348301345,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9700000000_M256_steps44.phase3_small_divisor_audit.json
0.97,1024,1.5557000132560006e-14,9.427651592629967e-19,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09489695155099576,8.348438733089399e-14,1.918835719649341e-12,2.022020400326765e-11,0.11621512362784779,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9700000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9700000000_M1024_steps44.phase3_small_divisor_audit.json
0.9705,128,1.1789180742738381e-14,6.655849129844564e-18,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09144879332527492,1.3025187516460057e-14,2.312694359191425e-14,2.5289501097793437e-13,0.42050691994882194,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9705000000_M128_steps44.phase3_small_divisor_audit.json
0.9705,256,2.041700142285663e-12,9.649893836348013e-18,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09325929663889956,4.978484058784066e-12,6.576852249295506e-12,7.052221586831293e-11,0.2760257534124575,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9705000000_M256_steps44.phase3_small_divisor_audit.json
0.9705,1024,1.315874492702207e-14,1.5438343687469178e-18,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.0954154549034465,8.138930608048476e-14,1.934734394592321e-12,2.0276949856290384e-11,0.047134649377977525,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9705000000_M1024_steps44.phase3_small_divisor_audit.json
0.971,128,7.424616477180734e-15,9.171419079095464e-18,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09166748077756731,8.219925301961396e-15,1.454121004451855e-14,1.586299734777597e-13,0.4203638065838073,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9710000000_M128_steps44.phase3_small_divisor_audit.json
0.971,256,2.407601895626499e-12,7.079786019695458e-19,128,0.03157168686895751,89,31.673949008509837,89,1.003,0.09355241241590284,5.888743443396778e-12,7.763605852329974e-12,8.298669859859487e-11,0.2765165374282983,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9710000000_M256_steps44.phase3_small_divisor_audit.json
0.971,1024,1.4450246554886803e-14,2.1724119264600133e-19,512,0.007453356589541556,377,134.16773878807646,377,1.003,0.09596466017782687,7.464923634461446e-14,1.8722228974063804e-12,1.9509503747911642e-11,0.06136990554593104,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9710000000_M1024_steps44.phase3_small_divisor_audit.json
0.97125,128,1.4710455076283324e-14,1.2997429937392531e-17,64,0.0510806292927736,55,19.576892725193392,55,1.003,0.09177746709252113,1.6259777005671267e-14,2.89115195005966e-14,3.150176226965472e-13,0.4237246177511321,strong_phase3_candidate,6,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase3_small_divisor/records/K0p9712500000_M128_steps44.phase3_small_divisor_audit.json
