K_target,M,converged,solve_status,residual_linf,residual_l2,residual_l1_nu,weighted_coeff_l1_nu,tail_ratio_top_10pct,estimated_strip_width,estimated_nu_from_decay,max_abs_u,max_abs_r,continuation_success_count,continuation_total_count,elapsed_seconds,output_npz,record_path
0.9715,256,True,converged-target,2.8296809340133677e-12,5.922487520916851e-13,1.6030930538163974e-11,0.10180358345109763,0.00014420717712276436,0.062374643996759994,1.0643610265104697,0.050599867008339294,0.684318714239259,44,44,9.42234492301941,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9715000000_M256_steps44.json
0.9715,512,False,failed-at-K=0.9692200856999826,0.00036278892473415314,0.00026385571619938264,0.0005612160254316217,0.11219907588267966,0.002054748831659497,0.032950648907555904,1.0334995336516988,0.05025038320628791,0.6841372122377359,42,44,1034.1364648342133,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9715000000_M512_steps44.json
0.9715,1024,True,converged-target,4.481900961472718e-13,1.437869828324232e-14,1.21266646201671e-10,0.16523821086531965,1.8897709234395248e-05,0.01743194319390408,1.0175847662249988,0.050543582201005716,0.6843239808587784,44,44,112.85697484016418,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9715000000_M1024_steps44.json
0.9716,128,True,converged-target,5.3637649877202875e-15,4.802253548937552e-16,9.0487057477109e-15,0.09722878943751992,0.0005692006766308773,0.10517207507483242,1.1109017524120195,0.05052274421709293,0.6843186122364846,44,44,3.0084097385406494,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9716000000_M128_steps44.json
0.9716,256,True,converged-target,2.9208024887594775e-12,6.116584405843089e-13,1.6563758572091505e-11,0.10189544619885854,0.00014550408357486705,0.06226940827496409,1.0642490236030502,0.050613257030748024,0.6843268945248288,44,44,8.843543767929077,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9716000000_M256_steps44.json
0.9716,512,False,failed-at-K=0.9693198510201781,0.00036282056271233487,0.0002638805696580906,0.0005704779333020776,0.11632402308108683,0.002899816482652132,0.03192191336982697,1.0324368826403516,0.05026503746815474,0.6841453955317204,42,44,1064.5176079273224,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9716000000_M512_steps44.json
0.9716,1024,True,converged-target,9.226230890391207e-13,2.9023130206465425e-14,2.476423342952826e-10,0.167007229653382,1.888642953134805e-05,0.01733149083821869,1.017482552572009,0.050558086473542395,0.6843321811667852,44,44,118.11635494232178,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9716000000_M1024_steps44.json
0.971635,128,True,converged-target,4.649058915617843e-16,5.837518752352127e-17,1.039853133121414e-15,0.09724791927942898,0.0005700819577372998,0.10513643214489221,1.1108621573243345,0.05052676220675172,0.6843214516605626,44,44,3.032862901687622,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9716350000_M128_steps44.json
0.971635,256,True,converged-target,2.9379831900655518e-12,6.161506878672389e-13,1.6688211019578997e-11,0.10192768124059107,0.00014596010905053,0.062232608226623694,1.0642098599081529,0.05061794948405029,0.6843297581208632,44,44,8.3795907497406,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9716350000_M256_steps44.json
0.971635,512,False,failed-at-K=0.9693547688822466,0.00036283521077964953,0.0002638914157714542,0.0005713075156880331,0.11667411823611902,0.002959018568037302,0.03180958437320983,1.032320916554553,0.05026917423895975,0.6841482402329613,42,44,1033.6509108543396,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9716350000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/records/K0p9716350000_M512_steps44.json
