K,M,residual_linf,u_l1,u_tail_075_ratio_plain,u_tail_090_ratio_plain,u_decay_strip,u_decay_nu,u_decay_r2,recommended_nu_quarter_fit,recommended_nu_half_fit,recommendation_label,recommendation_score,rep_nu,rep_u_l1_nu,rep_residual_l1_nu,rep_u_tail_075_weighted_ratio,npz_path,record_path
0.9705,128,1.1789180742738381e-14,0.09030609201239974,0.004792322449650117,0.0005420469641354006,0.09526138299672356,1.099946324821238,0.6346008352416008,1.0241011957909874,1.0487832592205302,strong_phase2_candidate,5,1.005,0.0922411589126373,1.3927072048333455e-14,0.006163598874207842,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9705000000_M128_steps44.phase2_tail_audit.json
0.9705,256,2.041700142285663e-12,0.09177959404831634,0.0011815047538114144,9.827755486198442e-05,0.04626625023739202,1.0473532318838434,0.5451404646987152,1.011633713897709,1.0234027710944715,strong_phase2_candidate,5,1.005,0.09432217727720252,5.638173285704135e-12,0.0019442303707597175,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9705000000_M256_steps44.phase2_tail_audit.json
0.9705,1024,1.315874492702207e-14,0.09300705254919231,0.0002510439960714826,1.78694036370536e-05,0.014484556086634133,1.0145899655908703,0.6361334062751809,1.0036277032665217,1.0072685667640335,strong_phase2_candidate,6,1.005,0.09759450946212819,1.6005064060285785e-13,0.0018710294678857444,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9705000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9705000000_M1024_steps44.phase2_tail_audit.json
0.971,128,7.424616477180734e-15,0.09051476841750856,0.004894099535733183,0.0005542593165786941,0.0947671408308105,1.0994028192900094,0.6324261495887872,1.0239746651099677,1.0485241147870703,strong_phase2_candidate,5,1.005,0.09246702258552904,8.789884025400007e-15,0.006293630065149042,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9710000000_M128_steps44.phase2_tail_audit.json
0.971,256,2.407601895626499e-12,0.09204882002782407,0.0012321941790774987,0.00010283163957570813,0.04577907756917536,1.0468431142830668,0.5404938969339135,1.0115105113265626,1.023153514524124,strong_phase2_candidate,5,1.005,0.09463362991235885,6.669475738220143e-12,0.002026952908691386,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9710000000_M256_steps44.phase2_tail_audit.json
0.971,1024,1.4450246554886803e-14,0.09341423096393324,0.0002888870330867111,1.8524478689885982e-05,0.014015307595636255,1.0141139824664507,0.6218744665542665,1.0035099724759609,1.007032264858704,strong_phase2_candidate,6,1.005,0.09831088289680484,1.4587942768697374e-13,0.002141761966010678,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9710000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9710000000_M1024_steps44.phase2_tail_audit.json
0.97125,128,1.4710455076283324e-14,0.09061969813826645,0.004945610890010579,0.0005604467563953655,0.09452061791848136,1.0991318247097341,0.6313352807972421,1.0239115587504846,1.0483948801428469,strong_phase2_candidate,5,1.005,0.09258063418134435,1.738465624570776e-14,0.006359429315820686,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9712500000_M128_steps44.phase2_tail_audit.json
0.97125,256,2.611244553918368e-12,0.09218482903135126,0.001258145206904364,0.0001051691379014732,0.04553709608518682,1.0465898282792667,0.5381669435157372,1.0114493214737823,1.0230297299097748,strong_phase2_candidate,5,1.005,0.0947911674380472,7.245912241109048e-12,0.0020692825956540157,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9712500000_M256_steps44.phase2_tail_audit.json
0.97125,1024,3.422956362797436e-14,0.09362479467820407,0.0003091235103732693,1.8782370607971508e-05,0.01378642350374638,1.0138818944701395,0.6146712403801387,1.0034525522516105,1.006917024620271,strong_phase2_candidate,6,1.005,0.09868795597820167,2.7012379753461084e-13,0.002285771765083149,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9712500000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9712500000_M1024_steps44.phase2_tail_audit.json
0.9715,128,9.166278847061449e-15,0.09072502462684259,0.004997538804476615,0.0005666886373926189,0.09427449969653,1.0988613416261195,0.6302420972525719,1.0238485598655822,1.0482658735388268,strong_phase2_candidate,5,1.005,0.09269470179058736,1.0839245753649191e-14,0.006425752488039108,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9715000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase2_tail_audit/records/K0p9715000000_M128_steps44.phase2_tail_audit.json
