K,M,embedding_residual_linf_max,scalar_residual_linf,upper_triangular_defect_linf_max,a11_minus_1_linf,a21_linf,a22_minus_1_linf,twist_average,twist_min,twist_max,twist_centered_linf,frame_tangent_norm_min,frame_tangent_norm_max,frame_normal_norm_max,frame_det_defect_linf,rep_nu,rep_embedding_residual_l1_nu_proxy,rep_a21_l1_nu,rep_Z_proxy,rep_Q_proxy,rep_radii_margin_proxy,rep_radii_proxy_positive_margin,recommendation_label,recommendation_score,npz_path,record_path
0.967,512,1.1409690616657227,4.377609386096992e-13,0.2498002923176338,0.2498002923176338,0.014582171604024197,0.0007104005379070522,1.3338484699208277,-0.17418384782725538,5.279956965264031,3.946108495343203,0.5187843586879036,5.278644523743746,1.9275831725713066,2.220446049250313e-16,1.003,3.838768273941506,0.0328428498394044,9.202844099517607,2038.1525218425795,-192223379.87167367,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M512_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9670000000_M512_steps44.phase4_auto_reducibility_audit.json
0.967,1024,1.0429906398242867,1.3656610564627414e-14,0.002059042033802694,0.002059042033802694,8.780413135489606e-05,8.21211171531111e-06,1.2539112753087145,-0.12882327512544361,4.120476987941416,2.8665657126327013,0.5993954075655823,4.755738255788474,1.6683477840803875,2.220446049250313e-16,1.003,4.840430897332951,0.0006860307051767605,0.15800417129818722,1702.6637661131228,-255315057.26823872,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9670000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9670000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.9675,128,1.065193764073118,2.491062911502695e-15,0.01925010154894946,0.01925010154894946,0.013899279232009842,0.0010005867679696578,1.2194781797349954,-0.11133748108844638,3.46252444444683,2.2430462647118348,0.6548911404462485,3.5800404696481825,1.5269713365164648,2.220446049250313e-16,1.003,2.919145726174281,0.016224457549472226,0.6788407909223987,1075.1094739706716,-58633231.720143676,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9675000000_M128_steps44.phase4_auto_reducibility_audit.json
0.9675,256,1.1100610108233115,7.162326287613041e-13,0.01658707979736762,0.01658707979736762,0.0030682164121937916,0.00021139833491967686,1.2444729630929996,-0.13749561042928843,4.179654967616829,2.935182004523829,0.5928557901033472,4.128024990916659,1.6867508367012474,2.220446049250313e-16,1.003,3.3067875057955414,0.004682286428532323,0.524608143402121,1347.6099287662942,-94309685.11704282,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9675000000_M256_steps44.phase4_auto_reducibility_audit.json
0.9675,1024,1.0429906398242865,1.50938289644742e-14,0.0027009838079368187,0.0027009838079368187,0.0001186998762124393,1.0722845593447161e-05,1.260741529047591,-0.13113106450554846,4.215186283503067,2.9544447544554764,0.5926768490014552,4.880364476889708,1.6872601008202106,2.220446049250313e-16,1.003,4.840430897332945,0.0009163035850271309,0.2076967170963549,1778.666483442263,-266711724.72249675,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9675000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9675000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.968,128,1.0651937640731175,3.982925100842749e-15,0.01996875469979198,0.01996875469979198,0.014420483251283756,0.0010337280154584239,1.2218834042164917,-0.11195868716435842,3.4763717466805346,2.254488342464043,0.6536723907642574,3.6009285082190368,1.5298183220356376,2.220446049250313e-16,1.003,2.9191457261742775,0.01682740415775199,0.7041909568114264,1085.3913106387442,-59193978.52985543,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9680000000_M128_steps44.phase4_auto_reducibility_audit.json
0.968,256,1.110061010823309,8.577860644010116e-13,0.01787980230159336,0.01787980230159336,0.0033133852152213983,0.00022716677782153027,1.248788140759503,-0.1397584317423073,4.240069177146151,2.991281036386648,0.5884992137879829,4.172186132583145,1.6992376142073613,2.220446049250313e-16,1.003,3.306787505795557,0.0050533510826641335,0.5662225108061825,1371.493916854477,-95981169.24257709,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9680000000_M256_steps44.phase4_auto_reducibility_audit.json
0.968,1024,1.0429906398242872,1.4028708750224439e-14,0.0035299363218442847,0.0035299363218442847,0.00016025729209420345,1.4024977486370993e-05,1.2683582609592028,-0.1338711845208429,4.323006972112591,3.054648711153388,0.5852871348126113,5.016729110246871,1.7085630975301818,2.220446049250313e-16,1.003,4.84043089733294,0.0012223334363301826,0.2728329719290908,1863.7314022848375,-279467280.1326384,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9680000000_M1024_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9680000000_M1024_steps44.phase4_auto_reducibility_audit.json
0.9685,128,1.0651937640731177,2.6020852139652106e-15,0.020713285930864966,0.020713285930864966,0.014961126552256232,0.0010679319507596041,1.224345721920227,-0.11258574688707096,3.4903899428227745,2.2660442209025478,0.6524464304937415,3.6221012712798766,1.5326928821470382,2.220446049250313e-16,1.003,2.9191457261742784,0.01745255298534512,0.7304623075486945,1095.860762212488,-59764957.515432596,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M128_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9685000000_M128_steps44.phase4_auto_reducibility_audit.json
0.9685,256,1.110061010823307,1.0262346528122634e-12,0.0192697439493954,0.0192697439493954,0.003578088827378423,0.00024407395920600372,1.2533047912329416,-0.14212652328685516,4.303422056214358,3.0501172649814166,0.584021979107256,4.217514375161074,1.7122643252718224,2.220446049250313e-16,1.003,3.3067875057955853,0.005453396268494792,0.6110255664216736,1396.2242604054024,-97711884.70523988,False,weak_or_needs_auto_reducibility_improvement,1,artifacts/proof_audit/theorem_iii_trackb/phase1_seed/embeddings/K0p9685000000_M256_steps44.npz,artifacts/proof_audit/theorem_iii_trackb/phase4_auto_reducibility/records/K0p9685000000_M256_steps44.phase4_auto_reducibility_audit.json
